2025-07-16 21:10:10,916 - INFO - 成功加载预训练embedding
2025-07-16 21:10:11,046 - INFO - StructMatch系统初始化完成（集成语义增强）
2025-07-16 21:10:11,047 - INFO - 开始加载数据...
2025-07-16 21:10:12,376 - INFO - 成功加载知识图谱: 40559个实体, 11种关系, 86835个三元组
2025-07-16 21:10:12,378 - INFO - 成功加载2条规则
2025-07-16 21:10:12,378 - INFO - 数据加载完成
2025-07-16 21:10:12,389 - INFO - 收集规则第一个谓词对应的anchor: _also_see
2025-07-16 21:10:12,579 - INFO - 收集到 1299 个anchor
2025-07-16 21:10:12,579 - INFO - 开始批量匹配，共1299个anchor
2025-07-16 21:10:12,580 - INFO - 处理第1/1299个anchor
2025-07-16 21:10:12,729 - INFO - 步骤 1: 添加边 ('01974062', '10773394', '_derivationally_related_form'), 当前相似度: 0.1770
2025-07-16 21:10:12,816 - INFO - 步骤 2: 添加边 ('01974062', '07348399', '_derivationally_related_form'), 当前相似度: 0.9749
2025-07-16 21:10:12,907 - INFO - 步骤 3: 添加边 ('01974062', '03281145', '_derivationally_related_form'), 当前相似度: 0.9288
2025-07-16 21:10:12,933 - INFO - 匹配成功: anchor ('01974062', '_also_see', '01976089'), 得分: 0.8381
2025-07-16 21:10:12,987 - INFO - 步骤 1: 添加边 ('01698271', '00929718', '_derivationally_related_form'), 当前相似度: 0.1760
2025-07-16 21:10:13,105 - INFO - 步骤 2: 添加边 ('00929718', '01698271', '_derivationally_related_form'), 当前相似度: 0.9558
2025-07-16 21:10:13,252 - INFO - 步骤 3: 添加边 ('01700655', '00929718', '_synset_domain_topic_of'), 当前相似度: 0.9372
2025-07-16 21:10:13,272 - INFO - 匹配成功: anchor ('01698271', '_also_see', '01754576'), 得分: 0.8022
2025-07-16 21:10:13,443 - INFO - 步骤 1: 添加边 ('00155143', '00230746', '_hypernym'), 当前相似度: 0.1866
2025-07-16 21:10:13,634 - INFO - 步骤 2: 添加边 ('00230746', '00156601', '_hypernym'), 当前相似度: 0.9462
2025-07-16 21:10:13,743 - INFO - 步骤 3: 添加边 ('00329244', '00230746', '_hypernym'), 当前相似度: 0.9754
2025-07-16 21:10:13,775 - INFO - 匹配成功: anchor ('00230746', '_also_see', '02540347'), 得分: 0.8264
2025-07-16 21:10:13,845 - INFO - 步骤 1: 添加边 ('01460029', '01254051', '_derivationally_related_form'), 当前相似度: 0.2703
2025-07-16 21:10:14,205 - INFO - 步骤 2: 添加边 ('01460029', '04332243', '_derivationally_related_form'), 当前相似度: 0.9537
2025-07-16 21:10:14,643 - INFO - 步骤 3: 添加边 ('04216634', '04332243', '_hypernym'), 当前相似度: 0.9652
2025-07-16 21:10:14,696 - INFO - 匹配成功: anchor ('01460029', '_also_see', '00677544'), 得分: 0.8117
2025-07-16 21:10:15,078 - INFO - 步骤 1: 添加边 ('01258302', '00222376', '_derivationally_related_form'), 当前相似度: 0.1863
2025-07-16 21:10:15,171 - INFO - 步骤 2: 添加边 ('01258642', '01258302', '_hypernym'), 当前相似度: 0.9639
2025-07-16 21:10:15,237 - INFO - 步骤 3: 添加边 ('00222376', '01258302', '_derivationally_related_form'), 当前相似度: 0.9574
2025-07-16 21:10:15,257 - INFO - 匹配成功: anchor ('01410223', '_also_see', '01258302'), 得分: 0.8236
2025-07-16 21:10:15,338 - INFO - 步骤 1: 添加边 ('01781478', '02055062', '_also_see'), 当前相似度: 0.1752
2025-07-16 21:10:15,409 - INFO - 步骤 2: 添加边 ('01781478', '02578235', '_also_see'), 当前相似度: 0.9671
2025-07-16 21:10:15,477 - INFO - 步骤 3: 添加边 ('01781478', '02513269', '_also_see'), 当前相似度: 0.9645
2025-07-16 21:10:15,505 - INFO - 匹配成功: anchor ('01781478', '_also_see', '01783158'), 得分: 0.8267
2025-07-16 21:10:15,618 - INFO - 步骤 1: 添加边 ('01781478', '02055062', '_also_see'), 当前相似度: 0.1930
2025-07-16 21:10:15,682 - INFO - 步骤 2: 添加边 ('02053818', '02055062', '_also_see'), 当前相似度: 0.9600
2025-07-16 21:10:15,747 - INFO - 步骤 3: 添加边 ('01781478', '04826771', '_derivationally_related_form'), 当前相似度: 0.9586
2025-07-16 21:10:15,766 - INFO - 匹配成功: anchor ('01781478', '_also_see', '02513269'), 得分: 0.8220
