2025-07-10 09:47:48,988 - INFO - 成功加载预训练embedding
2025-07-10 09:47:49,074 - INFO - StructMatch系统初始化完成（集成语义增强）
2025-07-10 09:47:49,075 - INFO - 开始加载数据...
2025-07-10 09:47:50,273 - INFO - 成功加载知识图谱: 40559个实体, 11种关系, 86835个三元组
2025-07-10 09:47:50,274 - INFO - 成功加载2条规则
2025-07-10 09:47:50,274 - INFO - 数据加载完成
2025-07-10 09:47:50,285 - INFO - 收集规则第一个谓词对应的anchor: _also_see
2025-07-10 09:47:50,453 - INFO - 收集到 1299 个anchor
2025-07-10 09:47:50,454 - INFO - 开始批量匹配，共1299个anchor
2025-07-10 09:47:50,456 - INFO - 处理第1/1299个anchor
2025-07-10 09:47:50,530 - INFO - 步骤 1: 添加边 ('01974062', '00116376', '_derivationally_related_form'), 当前相似度: 0.2379
2025-07-10 09:47:50,598 - INFO - 步骤 2: 添加边 ('00116376', '01974062', '_derivationally_related_form'), 当前相似度: 0.9532
2025-07-10 09:47:50,656 - INFO - 步骤 3: 添加边 ('01455184', '00116376', '_derivationally_related_form'), 当前相似度: 0.9537
2025-07-10 09:47:50,708 - INFO - 步骤 4: 添加边 ('01455184', '04231693', '_derivationally_related_form'), 当前相似度: 0.9673
2025-07-10 09:47:50,765 - INFO - 步骤 5: 添加边 ('04231693', '01455184', '_derivationally_related_form'), 当前相似度: 0.9555
2025-07-10 09:47:50,779 - INFO - 匹配成功: anchor ('01974062', '_also_see', '01976089'), 得分: 0.9352
2025-07-10 09:47:50,836 - INFO - 步骤 1: 添加边 ('01699346', '01698271', '_hypernym'), 当前相似度: 0.2431
2025-07-10 09:47:50,902 - INFO - 步骤 2: 添加边 ('01704452', '01698271', '_hypernym'), 当前相似度: 0.9434
2025-07-10 09:47:50,961 - INFO - 步骤 3: 添加边 ('01744611', '01698271', '_verb_group'), 当前相似度: 0.9604
2025-07-10 09:47:51,033 - INFO - 步骤 4: 添加边 ('01698271', '00929718', '_derivationally_related_form'), 当前相似度: 0.9688
2025-07-10 09:47:51,098 - INFO - 步骤 5: 添加边 ('01704953', '01698271', '_hypernym'), 当前相似度: 0.9427
2025-07-10 09:47:51,117 - INFO - 匹配成功: anchor ('01698271', '_also_see', '01754576'), 得分: 0.9215
2025-07-10 09:47:51,174 - INFO - 步骤 1: 添加边 ('00310386', '00230746', '_hypernym'), 当前相似度: 0.3619
2025-07-10 09:47:51,258 - INFO - 步骤 2: 添加边 ('00257269', '00230746', '_hypernym'), 当前相似度: 0.9454
